############################
### DOCUMENT
# K. K. Jameson, D. M. Goebel, and R. M. Watkins, “Hollow Cathode and Thruster Discharge Chamber Plasma Measurements Using High-Speed Scanning Probes,” 29th International Electric Propulsion Conference, 2005.
# D. Goebel, K. K. Jameson, R. M. Watkins, and I. Katz, "Hollow Cathode and Keeper-Region Plasma Measurements Using Ultra-Fast Miniature Scanning Probes," 40th AIAA/ASME/SAE/ASEE Joint Propulsion Conference and Exhibit, 2004. (Figure 8b)
### SOFTWARE
# Plot digitized using Engauge Digitizer
### CAPTION
# Internal NEXIS cathode pressure (a) constant flow rate at 5.5 sccm (b) constant discharge current at 22 A.
### DATA
# Id (A), mdot (sccm of Xe), P (Torr), Propellant mass (amu), do (mm), Lo (mm),dc(mm)
############################
Id,mdot,P,mass,do,Lo,Tw,dc
8.0,5.5,1.11388,131.293,2.0,0.74,,12.7
10.0,5.5,1.18253,131.293,2.0,0.74,,12.7
12.0,5.5,1.29485,131.293,2.0,0.74,,12.7
14.0,5.5,1.35413,131.293,2.0,0.74,,12.7
16.0,5.5,1.3947,131.293,2.0,0.74,,12.7
18.0,5.5,1.42278,131.293,2.0,0.74,,12.7
20.0,5.5,1.45398,131.293,2.0,0.74,,12.7
22.0,5.5,1.54134,131.293,2.0,0.74,,12.7
24.0,5.5,1.60686,131.293,2.0,0.74,,12.7
26.0,5.5,1.67863,131.293,2.0,0.74,,12.7
22.0,4.0,1.25,131.293,2.0,0.74,,12.7
22.0,5.5,1.43977,131.293,2.0,0.74,,12.7
22.0,7.0,1.85228,131.293,2.0,0.74,,12.7
22.0,10.0,2.75909,131.293,2.0,0.74,,12.7
4,5,0.655046,131.293,2.0,0.74,,12.7
7,5,0.726606,131.293,2.0,0.74,,12.7
12,5,0.80367,131.293,2.0,0.74,,12.7
17,5,0.941284,131.293,2.0,0.74,,12.7
22,5,1.01284,131.293,2.0,0.74,,12.7
27,5,1.11193,131.293,2.0,0.74,,12.7
32,5,1.18899,131.293,2.0,0.74,,12.7
