############################
### DOCUMENT
# [1] K. K. Jameson, D. M. Goebel, and R. M. Watkins, “Hollow Cathode and Keeper-Region Plasma Measurements,” 41st AIAA/ASME/SAE/ASEE Jt. Propuls. Conf. Exhib., 2005.
# [2] I. G. Mikellides, “Effects of viscosity in a partially ionized channel flow with thermionic emission,” Phys. Plasmas, vol. 16, no. 1, 2009.
# [3] J. Polk, A. Grubisic, N. Taheri, D. Goebel, R. Downey, and S. E. Hornbeck, “Emitter Temperature Distributions in the NSTAR Discharge Hollow Cathode,” 41st AIAA/ASME/SAE/ASEE Jt. Propuls. Conf. Exhib., 2005.
### SOFTWARE
# Plot digitized using Engauge Digitizer
### CAPTION
# [1] Pressure vs throttle level
# [2] Comparisons between measured and computed values of the cathode gas pressure
# [3] Fig.4 Comparison of temperatures from the NSTAR cathode and the plasma contactor
# [3] Fig.8 Internal hollow cathode pressure increases with flow rate and discharge current
### DATA
# Id (A), mdot (sccm of Xe), P (Torr), Propellant mass, do (mm), Lo (mm), Tw (degC), To (degC), dc (mm)
### NOTES
# [1] The original plot shows pressure vs. throttle level (TH). The throttle level were translated from the following references:
# TH4, TH8, TH15: V. Rawlin, J. Sovey, J. Anderson, and J. Polk, “NSTAR flight thruster qualification testing,” 34th AIAA/ASME/SAE/ASEE Jt. Propuls. Conf. Exhib., 1998.
# TH12: W. G. Tighe, K. Chien, D. M. Goebel, and R. T. Longo, “Hollow Cathode Ignition and Life Model,” 41st AIAA/ASME/SAE/ASEE Jt. Propuls. Conf. Exhib., 2005.
# [3] Tw is calculated with Polk's fit when data is not available (e.g. lines 23-47)
# Tw is the _peak_ insert temperature in this case; To is the orifice plate temperature
############################
Id,mdot,P,mass,do,Lo,Tw,To,dc
5.95,2.47,4.0275,131.293,1.02,0.74,1.148042054355279561e+03,,3.8
8.24,2.47,4.6019,131.293,1.02,0.74,1.195382905271655090e+03,,3.8
9.90,2.81,5.9054,131.293,1.02,0.74,1.221361467522763178e+03,,3.8
13.3,3.70,8.0824,131.293,1.02,0.74,1.264449393242895439e+03,,3.8
12.0,3.00,6.5039,131.293,1.02,0.74,1.250038322890565723e+03,,3.8
12.0,3.25,7.0642,131.293,1.02,0.74,1.250038322890565723e+03,,3.8
12.0,3.50,7.5596,131.293,1.02,0.74,1.250038322890565723e+03,,3.8
12.0,3.75,7.4458,131.293,1.02,0.74,1.250038322890565723e+03,,3.8
12.0,4.00,7.9005,131.293,1.02,0.74,1.250038322890565723e+03,,3.8
12.0,4.25,8.4528,131.293,1.02,0.74,1.250038322890565723e+03,,3.8
12.0,4.50,8.6801,131.293,1.02,0.74,1.250038322890565723e+03,,3.8
12.0,4.75,9.0455,131.293,1.02,0.74,1.250038322890565723e+03,,3.8
12.0,5.00,9.4272,131.293,1.02,0.74,1.250038322890565723e+03,,3.8
13.0,3.70,7.6651,131.293,1.02,0.74,1.262131786370456666e+03,,3.8
13.0,3.75,7.6895,131.293,1.02,0.74,1.262131786370456666e+03,,3.8
13.0,4.00,8.1767,131.293,1.02,0.74,1.262131786370456666e+03,,3.8
13.0,4.10,8.2092,131.293,1.02,0.74,1.262131786370456666e+03,,3.8
13.0,4.44,8.6964,131.293,1.02,0.74,1.262131786370456666e+03,,3.8
13.0,4.50,8.9157,131.293,1.02,0.74,1.262131786370456666e+03,,3.8
13.0,4.63,9.1836,131.293,1.02,0.74,1.262131786370456666e+03,,3.8
13.0,4.75,9.4516,131.293,1.02,0.74,1.262131786370456666e+03,,3.8
13.0,4.81,9.5978,131.293,1.02,0.74,1.262131786370456666e+03,,3.8
13.0,5.00,9.8170,131.293,1.02,0.74,1.262131786370456666e+03,,3.8
13.0,5.18,10.2149,131.293,1.02,0.74,1.262131786370456666e+03,,3.8
13.0,5.25,10.4180,131.293,1.02,0.74,1.262131786370456666e+03,,3.8
6.00,3.70,7.0818,131.293,1.02,0.74,1105.645,910.454,3.8
8.00,3.70,7.3746,131.293,1.02,0.74,1151.224,997.262,3.8
10.0,3.70,8.3778,131.293,1.02,0.74,1189.693,1050.179,3.8
12.0,3.70,9.5007,131.293,1.02,0.74,1206.733,1078.498,3.8
15.0,3.70,11.8545,131.293,1.02,0.74,1238.492,1146.666,3.8
6.00,6.00,11.5019,131.293,1.02,0.74,1098.86,933.891,3.8
8.00,6.00,12.6247,131.293,1.02,0.74,1162.796,1024.943,3.8
10.0,6.00,14.3318,131.293,1.02,0.74,1195.934,1073.04,3.8
12.0,6.00,15.918,131.293,1.02,0.74,1208.144,1090.363,3.8
15.0,6.00,18.6048,131.293,1.02,0.74,1260.539,1173.5,3.8
6.00,8.00,15.0423,131.293,1.02,0.74,1103.951,954.223,3.8
8.00,8.00,17.1671,131.293,1.02,0.74,1161.384,1043.017,3.8
10.0,8.00,19.6263,131.293,1.02,0.74,1199.582,1087.185,3.8
12.0,8.00,22.1244,131.293,1.02,0.74,1218.044,1108.123,3.8
15.0,8.00,25.7286,131.293,1.02,0.74,1265.608,1189.045,3.8
6.00,10.0,21.2917,131.293,1.02,0.74,1109.596,973.73,3.8
8.00,10.0,24.3728,131.293,1.02,0.74,1170.134,1067.583,3.8
10.0,10.0,27.4592,131.293,1.02,0.74,1208.071,1104.109,3.8
