############################
### DOCUMENT
# [1] A. Salhi, "Theoretical and experimental studies of orificed, hollow cathode operation," The Ohio State University, 1993.
### SOFTWARE
# Plot digitized using Engauge Digitizer
### CAPTION
# Various
### DATA
# Id (A), mdot (A), do (mm), propellant mass (amu), P (Torr), Lo (mm), Tw (deg C)
### NOTES
# Ar, mdot = 0.93 A, T vs Id for 0.76 mm: Fig 5.70 
# Ar, mdot = 0.93 A, T vs Id for 1.27 mm: Fig 5.70. We consider 1.27 mm approximately equalt to 1.21 mm to keep same orifice sizes
# Ar, mdot = 0.5 A, T vs Id for 1.21 mm: Fig 5.68. Measurements are taken 6 mm away from the orifice
# Xe, mdot = 0.93 A, T vs Id for 1.21 mm: Fig 6.3
# Xe, mdot = 0.5 A, T vs Id for 1.21 mm: Fig 5.68
############################
Id,mdot,do,mass,P,Lo,Tw,dc
2.0,0.50,0.76,39.948,8.0473,1.24,,3.81
3.0,0.50,0.76,39.948,8.5451,1.24,,3.81
4.0,0.50,0.76,39.948,9.07,1.24,,3.81
5.0,0.50,0.76,39.948,9.6758,1.24,,3.81
6.0,0.50,0.76,39.948,10.2952,1.24,,3.81
7.0,0.50,0.76,39.948,10.6715,1.24,,3.81
8.0,0.50,0.76,39.948,10.6971,1.24,,3.81
9.0,0.50,0.76,39.948,11.0735,1.24,,3.81
10.0,0.50,0.76,39.948,11.5579,1.24,,3.81
1.0,0.70,0.76,39.948,9.4523,1.24,,3.81
3.0,0.70,0.76,39.948,11.4939,1.24,,3.81
4.0,0.70,0.76,39.948,12.1403,1.24,,3.81
5.0,0.70,0.76,39.948,12.6584,1.24,,3.81
6.0,0.70,0.76,39.948,13.1698,1.24,,3.81
7.0,0.70,0.76,39.948,13.6136,1.24,,3.81
8.0,0.70,0.76,39.948,14.179,1.24,,3.81
9.0,0.70,0.76,39.948,14.6769,1.24,,3.81
10.0,0.70,0.76,39.948,15.1882,1.24,,3.81
11.0,0.70,0.76,39.948,15.6591,1.24,,3.81
12.0,0.70,0.76,39.948,16.3054,1.24,,3.81
13.0,0.70,0.76,39.948,16.8303,1.24,,3.81
14.0,0.70,0.76,39.948,17.5171,1.24,,3.81
2.0,0.93,0.76,39.948,13.4861,1.24,804.758,3.81
3.0,0.93,0.76,39.948,14.409,1.24,843.008,3.81
4.0,0.93,0.76,39.948,15.44,1.24,876.828,3.81
5.0,0.93,0.76,39.948,16.0323,1.24,894.393,3.81
6.0,0.93,0.76,39.948,16.9486,1.24,,3.81
7.0,0.93,0.76,39.948,17.4059,1.24,913.263,3.81
8.0,0.93,0.76,39.948,18.2412,1.24,,3.81
9.0,0.93,0.76,39.948,19.0765,1.24,935.091,3.81
10.0,0.93,0.76,39.948,19.8308,1.24,,3.81
11.0,0.93,0.76,39.948,20.6795,1.24,970.957,3.81
12.0,0.93,0.76,39.948,21.2719,1.24,,3.81
13.0,0.93,0.76,39.948,21.8642,1.24,,3.81
14.0,0.93,0.76,39.948,22.6995,1.24,,3.81
2.0,0.93,1.21,39.948,7.9276,1.24,871.997,3.81
3.0,0.93,1.21,39.948,8.0091,1.24,910.251,3.81
4.0,0.93,1.21,39.948,8.0369,1.24,,3.81
5.0,0.93,1.21,39.948,8.1722,1.24,957.939,3.81
6.0,0.93,1.21,39.948,8.3344,1.24,,3.81
7.0,0.93,1.21,39.948,8.4697,1.24,989.373,3.81
8.0,0.93,1.21,39.948,8.5244,1.24,996.594,3.81
9.0,0.93,1.21,39.948,8.6597,1.24,,3.81
10.0,0.93,1.21,39.948,8.6874,1.24,1026.55,3.81
11.0,0.93,1.21,39.948,8.8227,1.24,,3.81
