############################
### DOCUMENT
# [1] S. W. Patterson, D. G. Fearn, "The generation of high energy ions in hollow cathode discharges", IEPC, 1999
# [2] D. G. Fearn, S. W. Patterson, "Characterisation of the high current hollow cathode for the T6 thruster", 34th JPC, 1998
### SOFTWARE
# Plot digitized using Engauge Digitizer
### CAPTION
# [1] Fig 15 Measured pressure as mdot is varied 
# [2] Fig 16 The influence of orifice diameter and flow rate on temperature at 15 A
### DATA
# mdot (mg/s), Id (A), do (mm), propellant mass (amu), P (Torr), Lo (mm), Tw (degC)
### Notes
# Extracted from Fig. 15. Gas is xenon. Mass flow rate error: 1 to 2%. The orifice diameter is probably 1 mm as Ref. [1] refers to Ref. [2], which uses 1 mm in Figs 6 and 12 
# [2] Fig 16 The wall temperature is the exterior casing temperature, NOT the insert temperature.
############################
mdot,Id,do,mass,P,Lo,Tw,dc
0.050348,5,1.0,131.293,23.5156,2.0,,2.0
0.053009,5,1.0,131.293,22.5981,2.0,,2.0
0.055201,5,1.0,131.293,10.8051,2.0,,2.0
0.058891,5,1.0,131.293,10.4423,2.0,,2.0
0.076593,5,1.0,131.293,9.1665,2.0,,2.0
0.081527,5,1.0,131.293,8.1115,2.0,,2.0
0.084364,5,1.0,131.293,7.5071,2.0,,2.0
0.099239,5,1.0,131.293,6.4402,2.0,,2.0
0.129784,5,1.0,131.293,6.8552,2.0,,2.0
0.157013,5,1.0,131.293,7.3802,2.0,,2.0
0.165841,5,1.0,131.293,7.6651,2.0,,2.0
0.286028,5,1.0,131.293,10.5663,2.0,,2.0
0.517352,5,1.0,131.293,15.0623,2.0,,2.0
0.663307,5,1.0,131.293,18.0163,2.0,,2.0
0.719193,5,1.0,131.293,20.8679,2.0,,2.0
0.767759,5,1.0,131.293,22.0284,2.0,,2.0
0.8124,5,1.0,131.293,23.1013,2.0,,2.0
0.880098,5,1.0,131.293,24.6776,2.0,,2.0
0.95566,5,1.0,131.293,25.8358,2.0,,2.0
1.012065,5,1.0,131.293,27.5668,2.0,,2.0
1.127334,5,1.0,131.293,30.853,2.0,,2.0
0.146227,15,1.0,131.293,31.8456,2.0,,2.0
0.183391,15,1.0,131.293,12.5851,2.0,,2.0
0.192462,15,1.0,131.293,12.9579,2.0,491.917,2.0
0.200801,15,1.0,131.293,13.1769,2.0,493.944,2.0
0.206686,15,1.0,131.293,13.4181,2.0,,2.0
0.211343,15,1.0,131.293,13.6374,2.0,495.199,2.0
0.217477,15,1.0,131.293,13.7248,2.0,,2.0
0.224342,15,1.0,131.293,14.0099,2.0,497.387,2.0
0.237828,15,1.0,131.293,14.4921,2.0,,2.0
0.247391,15,1.0,131.293,14.8428,2.0,,2.0
0.265783,15,1.0,131.293,15.4345,2.0,,2.0
0.274118,15,1.0,131.293,15.8513,2.0,501.12,2.0
0.285157,15,1.0,131.293,16.0262,2.0,502.987,2.0
0.302567,15,1.0,131.293,16.6619,2.0,506.204,2.0
0.311642,15,1.0,131.293,16.9028,2.0,504.018,2.0
0.330032,15,1.0,131.293,17.5824,2.0,505.112,2.0
0.354068,15,1.0,131.293,18.2176,2.0,506.142,2.0
0.372701,15,1.0,131.293,18.9850,2.0,508.137,2.0
0.390114,15,1.0,131.293,19.4889,2.0,509.039,2.0
0.398956,15,1.0,131.293,19.2025,2.0,,2.0
0.435003,15,1.0,131.293,20.4519,2.0,514.026,2.0
0.466906,15,1.0,131.293,20.5152,2.0,517.277,2.0
0.477441,15,1.0,131.293,21.2833,2.0,,2.0
0.537551,15,1.0,131.293,22.0473,2.0,520.078,2.0
0.546866,15,1.0,131.293,22.5079,2.0,520.078,2.0
0.690534,15,1.0,131.293,28.6040,2.0,521.212,2.0
0.760691,15,1.0,131.293,30.0043,2.0,522.049,2.0
1.024987,15,1.0,131.293,41.0558,2.0,522.0,2.0
